Altium Designer Pick and Place Locations
D:\Altium_WorkSpace\2_Satellite_1\Satellite_4U_EXP_HW_1.0.0\01_DESIGN\Project Outputs for BEE-1012 PAY-EXP_V100\Pick Place for BEE_1012 PAY-EXP V100.txt

========================================================================================================================
File Design Information:

Date:       23/01/26
Time:       16:20
Revision:   932eb7afde24489c970301a67e34b74aa51d8d61
Variant:    No variations
Units used: mm

Designator Comment                             Layer       Footprint                              Center-X(mm) Center-Y(mm) Rotation Description                                                                                                        
J22        0532610971                          BottomLayer MOLEX_0532610971                       61.5400      74.4500      0        ""                                                                                                                 
R291       10k                                 TopLayer    RES_C_1005X30_L                        67.6287      70.8425      90       RES                                                                                                                
R292       10k                                 TopLayer    RES_C_1005X30_L                        66.3789      70.8425      90       RES                                                                                                                
R293       10k                                 TopLayer    RES_C_1005X30_L                        65.1290      70.8425      90       RES                                                                                                                
R294       10k                                 TopLayer    RES_C_1005X30_L                        63.8791      70.8425      90       RES                                                                                                                
R269       10k                                 TopLayer    RES_C_1005X30_L                        87.7344      70.8425      90       RES                                                                                                                
R270       10k                                 TopLayer    RES_C_1005X30_L                        86.4896      70.8425      90       RES                                                                                                                
R271       10k                                 TopLayer    RES_C_1005X30_L                        85.2448      70.8425      90       RES                                                                                                                
R272       10k                                 TopLayer    RES_C_1005X30_L                        84.0000      70.8425      90       RES                                                                                                                
R121       DNP/0R                              TopLayer    RES_C_1005X30_L                        39.8011      70.9623      0        RES                                                                                                                
R120       DNP/0R                              TopLayer    RES_C_1005X30_L                        42.3411      70.9619      180      RES                                                                                                                
U28        TB67H451AFNG,EL                     TopLayer    SOIC127P602X173-8N_EPAD                147.1007     59.2164      90       "BRUSHED MOTOR DRIVER IC, 50V, 3."                                                                                 
C122       0.1uF/10V                           BottomLayer CAP_C_1005X50_L                        134.4930     24.7650      0        CAP                                                                                                                
R314       1k                                  TopLayer    RES_C_1005X30_L                        3.8135       52.2120      270      RES                                                                                                                
DS11       _LED_RED                            TopLayer    LED_0402                               3.8054       50.0686      270      ""                                                                                                                 
J25        "Header 8x1"                        BottomLayer SAMTEC_TSM-108-01-L-SV-P-TR            39.2938      74.0924      180      ""                                                                                                                 
J3         "Header 8x1"                        BottomLayer SAMTEC_TSM-108-01-L-SV-P-TR            100.8197     5.8796       180      ""                                                                                                                 
R309       22R                                 BottomLayer RES_C_0603X30                          73.6619      53.0657      180      RES                                                                                                                
R308       22R                                 BottomLayer RES_C_0603X30                          73.6613      51.8051      180      RES                                                                                                                
R305       4.7k                                TopLayer    RES_C_1005X30_L                        50.3416      22.0398      270      RES                                                                                                                
R304       4.7k                                TopLayer    RES_C_1005X30_L                        51.4071      22.0398      270      RES                                                                                                                
R300       DNP/4.7k                            TopLayer    RES_C_1005X30_L                        47.0507      17.0410      90       RES                                                                                                                
R299       4.7k                                TopLayer    RES_C_1005X30_L                        47.0553      15.0753      90       RES                                                                                                                
C120       0.1uF/10V                           TopLayer    CAP_C_1005X50_L                        48.7680      22.0400      270      "CAP CHIP"                                                                                                         
R151       22R                                 BottomLayer RES_C_0603X30                          115.6461     51.2498      90       RES                                                                                                                
VR1        LM1117MP-3.3/NOPB                   TopLayer    VREG_LM1117MP-3.3/NOPB                 11.1760      71.1454      90       "800-mA 15-V linear voltage regulator"                                                                             
R444       22R                                 TopLayer    RES_C_1005X30_L                        28.8290      12.4460      90       RES                                                                                                                
R440       22R                                 TopLayer    RES_C_1005X30_L                        30.0990      12.4460      90       RES                                                                                                                
U57        MAX14662ETI+T                       TopLayer    QFN40P400X400X80-29N                   80.0485      64.3844      0        "8 Circuit IC Switch 1:1 1Ohm 28-TQFN _4x4_"                                                                       
R563       10k                                 TopLayer    RES_C_1005X30_L                        76.1541      66.3571      0        RES                                                                                                                
R562       10k                                 TopLayer    RES_C_1005X30_L                        63.0046      66.4079      0        RES                                                                                                                
R561       10k                                 TopLayer    RES_C_1005X30_L                        83.8659      66.3567      180      RES                                                                                                                
R560       10k                                 TopLayer    RES_C_1005X30_L                        70.7164      66.4075      180      RES                                                                                                                
R559       10k                                 TopLayer    RES_C_1005X30_L                        77.5659      68.2339      270      RES                                                                                                                
R558       10k                                 TopLayer    RES_C_1005X30_L                        64.4164      68.2847      270      RES                                                                                                                
C350       0.1uF/10V                           TopLayer    CAP_C_1005X50_L                        80.0539      68.2340      270      CAP                                                                                                                
C349       0.1uF/10V                           TopLayer    CAP_C_1005X50_L                        131.6934     61.2790      90       "CAP CHIP"                                                                                                         
C348       0.1uF/10V                           TopLayer    CAP_C_1005X50_L                        141.2260     61.2790      90       "CAP CHIP"                                                                                                         
C347       0.1uF/10V                           TopLayer    CAP_C_1005X50_L                        150.7586     61.2790      90       "CAP CHIP"                                                                                                         
C346       0.1uF/10V                           TopLayer    CAP_C_1005X50_L                        160.1642     61.2790      90       "CAP CHIP"                                                                                                         
R454       22R                                 BottomLayer RES_C_0603X30                          73.6490      49.9152      180      RES                                                                                                                
R452       22R                                 BottomLayer RES_C_0603X30                          73.6405      44.6639      180      RES                                                                                                                
C186       0.1uF/10V                           TopLayer    CAP_C_1005X50_L                        53.2386      17.2280      270      "CAP CHIP"                                                                                                         
U56        MB85RS2MTAPNF-G-BDERE1              TopLayer    SOIC127P602X173-8N                     106.7308     19.1478      180      "FRAM _Ferroelectric RAM_ Memory IC 2Mb _256K x 8_ SPI 40MHz 8-SOP"                                                
R451       4.7k                                TopLayer    RES_C_1005X30_L                        101.9633     17.8583      270      RES                                                                                                                
R450       4.7k                                TopLayer    RES_C_1005X30_L                        111.9380     17.2428      0        RES                                                                                                                
R449       4.7k                                TopLayer    RES_C_1005X30_L                        111.9380     19.7861      0        RES                                                                                                                
C183       0.1uF/10V                           BottomLayer CAP_C_1005X50_L                        106.7308     17.2428      180      "CAP CHIP"                                                                                                         
U55        TPS74901RGWR                        TopLayer    QFN65P500X500X100-21N                  20.6778      61.8848      0        "3-A, low-VIN (0.8-V), adjustable ultra-low-dropout voltage regulator with power good & enable 20-VQFN -40 to 125" 
R557       1.69k                               TopLayer    RES_C_1005X30_L                        20.8282      65.7860      0        RES                                                                                                                
R556       4.7k                                TopLayer    RES_C_1005X30_L                        18.8540      65.7860      0        RES                                                                                                                
